,time,origin,value
258,1675441800000.0,3,272.29364013671875
259,1675442700000.0,3,272.2621765136719
260,1675443600000.0,3,272.2317810058594
261,1675444500000.0,3,272.2139587402344
262,1675445400000.0,3,272.1607360839844
263,1675446300000.0,3,272.1028747558594
264,1675447200000.0,3,272.2955627441406
265,1675448100000.0,3,272.2895202636719
266,1675449000000.0,3,272.2558288574219
267,1675449900000.0,3,272.2424011230469
268,1675450800000.0,3,272.1736145019531
269,1675451700000.0,3,272.1039123535156
270,1675452600000.0,3,272.05291748046875
271,1675453500000.0,3,272.07794189453125
272,1675454400000.0,3,272.0553283691406
273,1675455300000.0,3,272.0140075683594
274,1675456200000.0,3,272.01373291015625
275,1675457100000.0,3,272.01898193359375
276,1675458000000.0,3,271.99884033203125
277,1675458900000.0,3,271.9713134765625
278,1675459800000.0,3,271.93695068359375
279,1675460700000.0,3,271.907958984375
280,1675461600000.0,3,271.91253662109375
281,1675462500000.0,3,271.9326171875
282,1675463400000.0,3,271.9775085449219
283,1675464300000.0,3,272.03472900390625
284,1675465200000.0,3,272.07733154296875
285,1675466100000.0,3,272.2039489746094
286,1675467000000.0,3,272.35784912109375
287,1675467900000.0,3,272.3221130371094
288,1675468800000.0,3,272.2108154296875
289,1675469700000.0,3,272.16510009765625
290,1675470600000.0,3,272.2391357421875
291,1675471500000.0,3,272.2704162597656
292,1675472400000.0,3,272.2942199707031
293,1675473300000.0,3,272.164794921875
294,1675474200000.0,3,272.10601806640625
295,1675475100000.0,3,271.94677734375
296,1675476000000.0,3,271.7805480957031
297,1675476900000.0,3,271.7678527832031
298,1675477800000.0,3,271.7345886230469
299,1675478700000.0,3,271.58740234375
300,1675479600000.0,3,271.4211120605469
301,1675480500000.0,3,271.22802734375
302,1675481400000.0,3,271.28582763671875
303,1675482300000.0,3,271.0943908691406
304,1675483200000.0,3,271.16839599609375
305,1675484100000.0,3,271.1366271972656
306,1675485000000.0,3,270.9142150878906
307,1675485900000.0,3,270.5530090332031
308,1675486800000.0,3,270.89068603515625
309,1675487700000.0,3,271.06976318359375
310,1675488600000.0,3,270.7378845214844
311,1675489500000.0,3,270.2470703125
312,1675490400000.0,3,268.05755615234375
313,1675491300000.0,3,268.1046142578125
314,1675492200000.0,3,268.3614807128906
